Company_Name,Company_Description,Key_Principal,Industry,Address,Phone,website,Employee(This site),Employee(All site),Revenue,Year started,Incorporated,ESG ranking,ESG industry average
"NAPA Valley Wine Train, LLC","NAPA Valley Wine Train, LLC is located in NAPA, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. NAPA Valley Wine Train, LLC has 145 total employees across all of its locations and generates $25.40 million in sales (USD). (Sales figure is modelled). There are 9 companies in the NAPA Valley Wine Train, LLC corporate family.",Anthony J Giaccio   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Restaurants and Other Eating Places ,  Rail Transportation ,  Other Transit and Ground Passenger Transportation ,  Scenic railroads for amusement","1275 McKinstry St NAPA, CA, 94559-1925 United States See other locations",(707) 253-2160,www.winetrain.com,125,145,No Data,1984,1984,3.0,3.0
"Als West Coast Logistics, Inc.","Als West Coast Logistics, Inc. is located in Santa Fe Springs, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Als West Coast Logistics, Inc. has 65 total employees across all of its locations and generates $10.73 million in sales (USD). (Sales figure is modelled). There are 3 companies in the Als West Coast Logistics, Inc. corporate family.",Elvia Rodriguez   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Warehousing and Storage ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","12202 Slauson Ave Santa Fe Springs, CA, 90670-2628 United States See other locations",(562) 696-1199,No Data,30,65,No Data,2012,No Data,No Data,No Data
"Altex Enterprises, Inc.","Altex Enterprises, Inc. is located in West Sacramento, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Altex Enterprises, Inc. has 20 total employees across all of its locations and generates $4.67 million in sales (USD). (Sales figure is modelled).",Andrei Lutsuk   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","2600 Rice Ave West Sacramento, CA, 95691-2348 United States",(916) 372-8402,No Data,No Data,20,No Data,2005,No Data,2.0,2.0
"San Francisco North/Petaluma Koa, Inc","San Francisco North/Petaluma Koa, Inc is located in Petaluma, CA, United States and is part of the RV (Recreational Vehicle) Parks and Recreational Camps Industry. San Francisco North/Petaluma Koa, Inc has 50 total employees across all of its locations and generates $3.84 million in sales (USD). (Sales figure is modelled).",WILLIAM WOOD   See more contacts,"RV (Recreational Vehicle) Parks and Recreational Camps ,  Scenic and Sightseeing Transportation, Land ,  Accommodation ,  Accommodation and Food Services ,  Campgrounds","20 Rainsville Rd Petaluma, CA, 94952-8121 United States",(707) 763-1492,www.koa.com,No Data,50,No Data,1975,1981,2.0,2.0
Dei Logistics (usa) Corporation,"Dei Logistics (usa) Corporation is located in Fremont, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Dei Logistics (usa) Corporation has 12 total employees across all of its locations and generates $3.76 million in sales (USD). (Sales figure is modelled).",Chung-Hsiu Yao   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Warehousing and Storage ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","46101 Fremont Blvd Fremont, CA, 94538-6468 United States",(510) 668-5100,No Data,No Data,12,No Data,2000,2000,No Data,No Data
G & F Horse Trailer Repair,"G & F Horse Trailer Repair is located in Bloomington, CA, United States and is part of the Motor Vehicle Body and Trailer Manufacturing Industry. G & F Horse Trailer Repair has 11 total employees across all of its locations and generates $1.72 million in sales (USD). (Employees and Sales figures are modelled).",George E Liblin   See more contacts,"Motor Vehicle Body and Trailer Manufacturing ,  Automotive Repair and Maintenance ,  Scenic and Sightseeing Transportation, Land ,  Horse trailers, except fifth-wheel type ,  Trailer repair","2175 S Willow Ave Bloomington, CA, 92316-2970 United States",(909) 820-4600,www.gandfcompanies.net,11,11,No Data,1979,No Data,3.0,3.0
Nevada City Carriage Co,"Nevada City Carriage Co is located in Nevada City, CA, United States and is part of the Travel Arrangement and Reservation Services Industry. Nevada City Carriage Co has 8 total employees across all of its locations and generates $1.34 million in sales (USD). (Sales figure is modelled).",David Vertin   See more contacts,"Travel Arrangement and Reservation Services ,  Scenic and Sightseeing Transportation, Land ,  Other Transportation Equipment Manufacturing ,  Sightseeing tour companies ,  Horse drawn transportation services","431 Uren St Nevada City, CA, 95959-2367 United States",(530) 265-8778,www.nevadacitychamber.com,No Data,8,No Data,1985,No Data,3.0,3.0
Yosemite Mountain-Sugar Pine Amusement Co,"Yosemite Mountain-Sugar Pine Amusement Co is located in Fish Camp, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Yosemite Mountain-Sugar Pine Amusement Co has 29 total employees across all of its locations and generates $1.18 million in sales (USD). (Employees and Sales figures are modelled).",Max Stauffer   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Office Supplies, Stationery, and Gift Stores ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","56001 Highway 41 Fish Camp, CA, 93623-9701 United States",(559) 683-7273,No Data,29,29,No Data,1966,1966,No Data,No Data
Bay Area Electric Railroad Association Incorporated,"Bay Area Electric Railroad Association Incorporated is located in Suisun City, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Bay Area Electric Railroad Association Incorporated has 1 total employees across all of its locations and generates $1.07 million in sales (USD). (Sales figure is modelled).",John Coleman   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Rail Transportation ,  Museums, Historical Sites, and Similar Institutions ,  Scenic railroads for amusement ,  Interurban railways","5848 State Highway 12 Suisun City, CA, 94585-9741 United States",(707) 374-2978,www.wrm.org,No Data,1,No Data,1949,1949,1.0,1.0
West 2 East Transport Inc.,"West 2 East Transport Inc. is located in Torrance, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. West 2 East Transport Inc. has 6 total employees across all of its locations and generates $1.00 million in sales (USD). (Sales figure is estimated).",WALTER IVAN SALGUERO   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","19106 Normandie Ave # 257 Torrance, CA, 90502-1010 United States",(866) 810-7101,No Data,No Data,6,No Data,2014,2014,No Data,No Data
"Southern California Railway Museum, Inc.","Southern California Railway Museum, Inc. is located in Perris, CA, United States and is part of the Museums, Historical Sites, and Similar Institutions Industry. Southern California Railway Museum, Inc. has 7 total employees across all of its locations and generates $850,422 in sales (USD).",Joseph Fuller   See more contacts,"Museums, Historical Sites, and Similar Institutions ,  Sporting Goods, Hobby, and Musical Instrument Stores ,  Scenic and Sightseeing Transportation, Land ,  Museum ,  Hobby, toy, and game shops","2201 S A St Perris, CA, 92570-9318 United States",(951) 943-3020,www.socalrailway.org,No Data,7,No Data,1956,1956,2.0,2.0
"Starway Transport, LLC","Starway Transport, LLC is located in Rancho Dominguez, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Starway Transport, LLC has 2 total employees across all of its locations and generates $755,252 in sales (USD). (Sales figure is modelled). There are 3 companies in the Starway Transport, LLC corporate family.",Hee Kab Park   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","20021 S Rancho Way FL 1 Rancho Dominguez, CA, 90220-6318 United States See other locations",(310) 631-3430,www.starcluster.co.kr,No Data,2,No Data,2012,No Data,No Data,No Data
"Tiger Freight Services, Inc.","Tiger Freight Services, Inc. is located in San Gabriel, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Tiger Freight Services, Inc. has 3 total employees across all of its locations and generates $540,093 in sales (USD). (Sales figure is modelled).",Tony M Hammac   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","7220 Rosemead Blvd Ste 101 San Gabriel, CA, 91775-1380 United States",(310) 202-7039,www.tigerfsi.com,No Data,3,No Data,2007,2007,3.0,3.0
Monterey Bay Equestrian Center,"Monterey Bay Equestrian Center is located in Salinas, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Monterey Bay Equestrian Center has 3 total employees across all of its locations and generates $451,623 in sales (USD). (Sales figure is modelled).",MICHAEL MASTROIANNI   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services ,  Cabs, horse drawn: for hire","19805 Pesante Rd Salinas, CA, 93907-1460 United States",(831) 663-5712,www.montereybayequestrian.com,No Data,3,No Data,1982,No Data,1.0,1.0
Ramon Pineda,"Ramon Pineda is located in Colton, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Ramon Pineda has 1 total employees across all of its locations and generates $413,577 in sales (USD). (Sales figure is modelled).",Ramon Pineda   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","873 Walnut St Colton, CA, 92324-3320 United States",(909) 580-7671,No Data,No Data,1,No Data,2006,No Data,No Data,No Data
Amiano's Transportation Inc.,"Amiano's Transportation Inc. is located in Desert Hot Springs, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Amiano's Transportation Inc. has 4 total employees across all of its locations and generates $344,685 in sales (USD). (Sales figure is modelled).",Paula E Amiano   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","67910 Alexandria Ct Desert Hot Springs, CA, 92240-6894 United States",(760) 821-3279,No Data,No Data,4,No Data,2011,2012,No Data,No Data
Sandhu Freights Inc,"Sandhu Freights Inc is located in Sacramento, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Sandhu Freights Inc has 5 total employees across all of its locations and generates $306,942 in sales (USD). (Employees and Sales figures are modelled).",BHILI SANDHU   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","7874 Bothwell Dr Sacramento, CA, 95829-6089 United States",(916) 769-6599,No Data,5,5,No Data,2014,2014,No Data,No Data
"JW Transportation, LLC","JW Transportation, LLC is located in Los Angeles, CA, United States and is part of the Urban Transit Systems Industry. JW Transportation, LLC has 4 total employees across all of its locations and generates $250,185 in sales (USD). (Sales figure is modelled).",Ronald White   See more contacts,"Urban Transit Systems ,  Scenic and Sightseeing Transportation, Land ,  Charter Bus Industry ,  School and Employee Bus Transportation ,  Automotive Equipment Rental and Leasing","3963 Dalton Ave Los Angeles, CA, 90062-1213 United States",(323) 346-9316,No Data,No Data,4,No Data,2009,No Data,No Data,No Data
Asr Logistics Inc,"Asr Logistics Inc is located in Fresno, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Asr Logistics Inc has 3 total employees across all of its locations and generates $249,687 in sales (USD). (Sales figure is modelled).",Kulwant Singh   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cable cars, aerial: except amusement and scenic","4452 N Bain Ave Fresno, CA, 93722-0449 United States",(559) 577-0141,No Data,No Data,3,No Data,2016,2016,No Data,No Data
Paramount Transportation Inc,"Paramount Transportation Inc is located in Hayward, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Paramount Transportation Inc has 3 total employees across all of its locations and generates $240,000 in sales (USD). (Sales figure is estimated).",Jose Guisande   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","1798 Panda Way Hayward, CA, 94541-4331 United States",(415) 350-0720,No Data,No Data,3,No Data,2004,No Data,3.0,3.0
US Freight Transport Inc,"US Freight Transport Inc is located in Lancaster, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. US Freight Transport Inc has 5 total employees across all of its locations and generates $226,528 in sales (USD). (Employees and Sales figures are modelled).",Julio Reyes   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","1142 E Avenue K13 Lancaster, CA, 93535-2944 United States",(661) 208-5859,No Data,5,5,No Data,2013,2013,No Data,No Data
Blue Connection (la) Corporation,"Blue Connection (la) Corporation is located in San Gabriel, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Blue Connection (la) Corporation has 4 total employees across all of its locations and generates $223,142 in sales (USD). (Sales figure is modelled).",Mei Jun Yu   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Sightseeing bus","1005 E Las Tunas Dr Ste 55 San Gabriel, CA, 91776-1614 United States",(951) 710-7700,No Data,No Data,4,No Data,2012,2010,No Data,No Data
Open Door Sightseeing Big Bus Tours,"Open Door Sightseeing Big Bus Tours is located in San Francisco, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Open Door Sightseeing Big Bus Tours has 6 total employees across all of its locations and generates $218,592 in sales (USD). (Employees and Sales figures are modelled).",Seth Swan   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Sightseeing bus","3240 3RD St San Francisco, CA, 94124-1204 United States",(707) 239-6432,www.bigbustours.com,6,6,No Data,2013,No Data,No Data,No Data
Nachhattar Kaur,"Nachhattar Kaur is located in Elk Grove, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Nachhattar Kaur has 2 total employees across all of its locations and generates $209,216 in sales (USD). (Sales figure is modelled).",NACHHATTAR KAUR   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","8703 White Peacock Way Elk Grove, CA, 95624-3701 United States",(916) 952-5540,No Data,No Data,2,No Data,2011,No Data,3.0,3.0
Hector M Jimenez,"Hector M Jimenez is located in Redlands, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Hector M Jimenez has 6 total employees across all of its locations and generates $204,247 in sales (USD). (Employees and Sales figures are modelled).",Hector M Jimenez   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","310 Hartford Cir Redlands, CA, 92374-4226 United States",(909) 253-3449,No Data,6,6,No Data,2008,2017,No Data,No Data
Mnk Transport Inc,"Mnk Transport Inc is located in Manteca, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Mnk Transport Inc has 1 total employees across all of its locations and generates $203,704 in sales (USD). (Sales figure is modelled).",Beant Singh   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","198 Northgate Dr APT 133 Manteca, CA, 95336-3181 United States",(209) 679-7131,No Data,No Data,1,No Data,2003,2008,No Data,No Data
Harbans Singh,"Harbans Singh is located in Yuba City, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Harbans Singh has 2 total employees across all of its locations and generates $198,495 in sales (USD). (Sales figure is modelled).",Harbans Singh   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","849 Klamt Ct Yuba City, CA, 95993-9278 United States",(530) 237-6855,No Data,No Data,2,No Data,2009,No Data,No Data,No Data
