Company_Name,Company_Description,Key_Principal,Industry,Address,Phone,website,Employee(This site),Employee(All site),Revenue,Year started,Incorporated,ESG ranking,ESG industry average
Sequoia Sightseeing Tours,"Sequoia Sightseeing Tours is located in Three Rivers, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Sequoia Sightseeing Tours has 2 total employees across all of its locations and generates $174,266 in sales (USD). (Sales figure is modelled).",PAUL BISCHOFF   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Sightseeing bus","40972 Oak Ridge Dr Three Rivers, CA, 93271-9739 United States",(559) 561-4189,www.sequoiatours.com,No Data,2,No Data,2007,2015,3.0,3.0
Shadow Ridge Farms Horse,"Shadow Ridge Farms Horse is located in Torrance, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Shadow Ridge Farms Horse has 1 total employees across all of its locations and generates $168,750 in sales (USD). (Sales figure is modelled).",JOHN ARBUCKLE   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","2533 Dalemead St Torrance, CA, 90505-7024 United States",(310) 326-8179,No Data,No Data,1,No Data,1995,No Data,No Data,No Data
Jedac Transportation Inc.,"Jedac Transportation Inc. is located in Wildomar, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Jedac Transportation Inc. has 2 total employees across all of its locations and generates $168,406 in sales (USD). (Sales figure is modelled).",Eva Molina   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","21465 Apricot Ln Wildomar, CA, 92595-8768 United States",(951) 201-7480,No Data,No Data,2,No Data,2009,2009,No Data,No Data
Fama Diversified Inc.,"Fama Diversified Inc. is located in El Monte, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Fama Diversified Inc. has 2 total employees across all of its locations and generates $168,384 in sales (USD). (Sales figure is modelled).",OCTAVIO SANCHEZ   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","12154 Cherrylee Dr El Monte, CA, 91732-1510 United States",(626) 975-4464,No Data,No Data,2,No Data,2012,2012,No Data,No Data
Laura Frank,"Laura Frank is located in Sonoma, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Laura Frank has 3 total employees across all of its locations and generates $139,042 in sales (USD). (Sales figure is modelled).",Robert Frank   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Sporting Goods, Hobby, and Musical Instrument Stores ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","20264 Broadway Sonoma, CA, 95476-7568 United States",(707) 938-3912,www.traintown.com,No Data,3,No Data,1968,No Data,No Data,No Data
Spike Golden Entertainment Inc,"Spike Golden Entertainment Inc is located in Folsom, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Spike Golden Entertainment Inc has 2 total employees across all of its locations and generates $137,410 in sales (USD). (Sales figure is modelled).",Terry Gold   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","121 Dunstable Way Folsom, CA, 95630-6838 United States",(916) 983-1873,No Data,No Data,2,No Data,2001,1998,No Data,No Data
Fillmore Equestrian Center,"Fillmore Equestrian Center is located in Fillmore, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Fillmore Equestrian Center has 2 total employees across all of its locations and generates $133,631 in sales (USD). (Sales figure is modelled).",DYLAN SNOW   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","308 Chambersburg Rd Fillmore, CA, 93015-9700 United States",(805) 340-1448,www.fillmoreca.com,No Data,2,No Data,2004,No Data,No Data,No Data
"R&B Franchises, LLC","R&B Franchises, LLC is located in Los Angeles, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. R&B Franchises, LLC has 5 total employees across all of its locations and generates $133,100 in sales (USD). (Sales figure is modelled).",Richard Burton   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Motion Picture and Video Industries ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","1426 E 48TH Pl Los Angeles, CA, 90011-4418 United States",(213) 810-6560,No Data,No Data,5,No Data,2014,No Data,No Data,No Data
Carriages For Hire,"Carriages For Hire is located in Placerville, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Carriages For Hire has 2 total employees across all of its locations and generates $131,612 in sales (USD). (Sales figure is modelled).",SHARON EVANS   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Carriages, horse drawn: for hire","4880 Holm Rd Placerville, CA, 95667-7818 United States",(530) 622-4677,No Data,No Data,2,No Data,1983,No Data,No Data,No Data
Manjit S Pal,"Manjit S Pal is located in Sacramento, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Manjit S Pal has 2 total employees across all of its locations and generates $127,221 in sales (USD). (Sales figure is modelled).",Manjit Singh Pal   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","7036 Kilkenny Dr Sacramento, CA, 95842-1929 United States",(916) 344-3867,No Data,No Data,2,No Data,1997,No Data,No Data,No Data
Fancy Ferriage By Horse & Carriage,"Fancy Ferriage By Horse & Carriage is located in Martinez, CA, United States and is part of the Consumer Goods Rental Industry. Fancy Ferriage By Horse & Carriage has 2 total employees across all of its locations and generates $125,790 in sales (USD). (Sales figure is modelled).",Connie J Hodgson   See more contacts,"Consumer Goods Rental ,  Other Transportation Equipment Manufacturing ,  Scenic and Sightseeing Transportation, Land ,  Saddlehorse rental ,  Carriages, horse drawn","1033 Veterans Ct Martinez, CA, 94553-4622 United States",(925) 228-7766,www.fancyferriage.com,No Data,2,No Data,1993,No Data,No Data,No Data
Two Horse Enterprises,"Two Horse Enterprises is located in Fremont, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Two Horse Enterprises has 3 total employees across all of its locations and generates $125,599 in sales (USD). (Sales figure is modelled).",Bonnie Davis   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","47639 Bannon Ct Fremont, CA, 94539-7507 United States",(925) 523-3241,No Data,No Data,3,No Data,1997,No Data,No Data,No Data
Ginger Grano,"Ginger Grano is located in Riverside, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Ginger Grano has 2 total employees across all of its locations and generates $120,000 in sales (USD). (Employees and Sales figures are modelled).",GINGER GRANO   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Carriages, horse drawn: for hire","3491 Market St Riverside, CA, 92501-2825 United States",(951) 781-0780,No Data,2,2,No Data,No Data,No Data,No Data,No Data
Fiesta Tours,"Fiesta Tours is located in Torrance, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Fiesta Tours has 3 total employees across all of its locations and generates $107,436 in sales (USD). (Sales figure is modelled).",ROY R DAVILA   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Travel Arrangement and Reservation Services ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Sightseeing bus","21430 Anza Ave Torrance, CA, 90503-5422 United States",(310) 542-8834,www.fiestatoursca.com,No Data,3,No Data,1988,No Data,3.0,3.0
Raja Chandulal,"Raja Chandulal is located in San Francisco, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Raja Chandulal has 4 total employees across all of its locations and generates $105,861 in sales (USD). (Employees and Sales figures are modelled).",Chandulal Raja   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Sightseeing bus","3565 Fillmore St APT 301 San Francisco, CA, 94123-2154 United States",(415) 722-3127,No Data,4,4,No Data,2018,No Data,No Data,No Data
Peppermint Creek Carriage Co,"Peppermint Creek Carriage Co is located in Jamestown, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Peppermint Creek Carriage Co has 2 total employees across all of its locations and generates $105,217 in sales (USD). (Sales figure is modelled).",EARLENE SMITH   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Carriages, horse drawn: for hire","19925 Peppermint Falls Rd Jamestown, CA, 95327-9682 United States",(209) 533-2599,www.peppermintcreekcarriage.com,No Data,2,No Data,2008,No Data,No Data,No Data
Town & Country Carriage,"Town & Country Carriage is located in Palmdale, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Town & Country Carriage has 4 total employees across all of its locations and generates $101,989 in sales (USD). (Employees and Sales figures are modelled).",DOLLY KOURI   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Carriages, horse drawn: for hire","2809 W Avenue M8 Palmdale, CA, 93551-1746 United States",(661) 267-0866,No Data,4,4,No Data,2004,No Data,No Data,No Data
California Sightseeing Tours,"California Sightseeing Tours is located in San Francisco, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. California Sightseeing Tours has 2 total employees across all of its locations and generates $92,693 in sales (USD). (Sales figure is modelled).",MARY LILJHAL   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Sightseeing bus","2270 Jerrold Ave San Francisco, CA, 94124-1012 United States",(415) 647-9012,No Data,No Data,2,No Data,2010,No Data,No Data,No Data
"Adama, Yassin","Adama, Yassin is located in San Diego, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Adama, Yassin has 2 total employees across all of its locations and generates $79,582 in sales (USD). (Sales figure is modelled).",Yassin Adam   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","4016 49TH St San Diego, CA, 92105-2018 United States",(619) 634-5075,No Data,No Data,2,No Data,2007,No Data,No Data,No Data
Hassan Mohamed,"Hassan Mohamed is located in San Diego, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Hassan Mohamed has 1 total employees across all of its locations and generates $76,720 in sales (USD). (Sales figure is modelled).",Hassan Mohamed   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","830 Winston Dr San Diego, CA, 92114-1041 United States",(602) 516-6151,No Data,No Data,1,No Data,2012,No Data,No Data,No Data
Old River Carriage & Livery Stable,"Old River Carriage & Livery Stable is located in Bakersfield, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Old River Carriage & Livery Stable has 2 total employees across all of its locations and generates $72,566 in sales (USD). (Sales figure is modelled).",MARK MALLORY   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Horse drawn transportation services","13507 Luttrell Ct Bakersfield, CA, 93313-9692 United States",(661) 398-0784,No Data,No Data,2,No Data,2003,No Data,No Data,No Data
Jd's Wheelchair Mobile Service,"Jd's Wheelchair Mobile Service is located in Hercules, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Jd's Wheelchair Mobile Service has 1 total employees across all of its locations and generates $67,059 in sales (USD). (Sales figure is modelled).",Felimino Dumalag   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Other Support Services ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Cabs, horse drawn: for hire","337 Sparrow Dr Hercules, CA, 94547-1508 United States",(415) 990-5836,No Data,No Data,1,No Data,2013,No Data,No Data,No Data
"Doubletree Carriages, Inc.","Doubletree Carriages, Inc. is located in Phelan, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Doubletree Carriages, Inc. has 2 total employees across all of its locations and generates $66,885 in sales (USD). (Sales figure is modelled).",Marnan Morison   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Carriages, horse drawn: for hire","11025 Clovis Rd Phelan, CA, 92371-8181 United States",(951) 640-1972,No Data,No Data,2,No Data,2018,2018,No Data,No Data
Company_Name,Company_Description,Key_Principal,Industry,Address,Phone,website,Employee(This site),Employee(All site),Revenue,Year started,Incorporated,ESG ranking,ESG industry average
Michael Watson,"Michael Watson is located in Fredericksburg, VA, United States and is part of the Urban Transit Systems Industry. Michael Watson has 1 total employees across all of its locations and generates $58,558 in sales (USD). (Sales figure is modelled).",Michael Watson   See more contacts,"Urban Transit Systems ,  Interurban and Rural Bus Transportation ,  Charter Bus Industry ,  Scenic and Sightseeing Transportation, Land ,  Bus transportation","10520 Abberly Village Ln APT 130 Fredericksburg, VA, 22407-2729 United States",(415) 272-8730,No Data,No Data,1,No Data,2011,No Data,No Data,No Data
"Sacramento Modular Railroaders, Inc.","Sacramento Modular Railroaders, Inc. is located in Woodland, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Sacramento Modular Railroaders, Inc. has 4 total employees across all of its locations and generates $51,514 in sales (USD). (Employees and Sales figures are modelled).",NILS E PULTZ   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Business, Professional, Labor, Political, and Similar Organizations ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","211 Cedar Ln Woodland, CA, 95695-5312 United States",(530) 666-0513,No Data,4,4,No Data,2009,1985,No Data,No Data
Minis Allacart,"Minis Allacart is located in Alta Loma, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Minis Allacart has 1 total employees across all of its locations and generates $50,000 in sales (USD). (Sales figure is modelled).",Leslie Bronikowski   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Carriages, horse drawn: for hire","9987 Timbermist Ct Alta Loma, CA, 91737-2935 United States",(909) 484-9973,No Data,No Data,1,No Data,2003,No Data,No Data,No Data
Riverside Live Steamers,"Riverside Live Steamers is located in Riverside, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Riverside Live Steamers has 8 total employees across all of its locations and generates $41,872 in sales (USD).",Jim Bromar   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Restaurants and Other Eating Places ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","1496 Columbia Ave Riverside, CA, 92507-2017 United States",(951) 779-9024,www.riversidelivesteamers.com,No Data,8,No Data,1966,1966,No Data,No Data
Los Angeles Live Steamers,"Los Angeles Live Steamers is located in Los Angeles, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Los Angeles Live Steamers has 1 total employees across all of its locations and generates $35,903 in sales (USD). (Sales figure is modelled).",Ron Burgman   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","5202 Zoo Dr Los Angeles, CA, 90027-1472 United States",(323) 661-8958,www.arches.org,No Data,1,No Data,1956,1964,No Data,No Data
Sandiego Rail,"Sandiego Rail is located in Chula Vista, CA, United States and is part of the Scenic and Sightseeing Transportation, Land Industry. Sandiego Rail has 1 total employees across all of its locations and generates $34,256 in sales (USD). (Sales figure is modelled).",Richard Hamilson   See more contacts,"Scenic and Sightseeing Transportation, Land ,  Scenic and Sightseeing Transportation ,  Transportation and Warehousing ,  Scenic railroads for amusement","290 Landis Ave APT 9 Chula Vista, CA, 91910-2637 United States",(619) 948-1320,No Data,No Data,1,No Data,2002,No Data,No Data,No Data
Myia L Davila,"Myia L Davila is located in Mariposa, CA, United States and is part of the Other Personal Services Industry. Myia L Davila has 1 total employees across all of its locations and generates $27,585 in sales (USD). (Sales figure is modelled).",Myia Davila   See more contacts,"Other Personal Services ,  Other Animal Production ,  Consumer Goods Rental ,  Scenic and Sightseeing Transportation, Land ,  Training services, horses (except racing horses)","4286 Spring Creek Dr Mariposa, CA, 95338-9395 United States",(209) 736-7095,No Data,No Data,1,No Data,2014,No Data,No Data,No Data
